grupo,caso,instante,hora,convergiu_sem_gd,status_sem_gd,vmax_sem_gd_pu,barra_vmax_sem_gd,barras_mt_acima_1_05_sem_gd,sentido_sem_gd,kw_fonte_sem_gd,perdas_sem_gd_kw,potencia_sem_gd_kw,ajustes_sem_gd,convergiu_com_gd,status_com_gd,vmax_com_gd_pu,barra_vmax_com_gd,barras_mt_acima_1_05_com_gd,sentido_com_gd,kw_fonte_com_gd,perdas_com_gd_kw,potencia_com_gd_kw,ajustes_com_gd,delta_vmax_pu,delta_barras_mt_acima_1_05,delta_kw_fonte,delta_perdas_kw,comparacao_valida
cluster,tijuca,madrugada,2,True,ok,1.0449997833672642,alc9946_mt_50518,0,SE→rede,5368.973943098352,263.54134872195954,5368.973943098352,vminpu=0.9,True,instável numericamente,1.0449997617158084,urg29983_mt_50724,0,SE→rede,,,,,-2.165145573940208e-08,0,,,False
cluster,tijuca,meio_dia,12,True,ok,1.044999730453604,alc9946_mt_50518,0,SE→rede,6229.716965988955,334.4988578387903,6229.716965988955,vminpu=0.9,True,ok,1.0449997302735472,alc9946_mt_50518,0,SE→rede,4880.549449698667,317.7681967389134,4880.549449698667,vminpu=0.9,-1.800568583121276e-10,0,-1349.1675162902884,-16.730661099876897,True
cluster,tijuca,ponta_noite,19,True,ok,1.044999721082556,alc9946_mt_50518,0,SE→rede,6596.848872770007,322.25972498066824,6596.848872770007,vminpu=0.9,True,instável numericamente,1.0449996956831704,urg29983_mt_50724,0,SE→rede,,,,vminpu=0.9,-2.5399385483737547e-08,0,,,False
cluster,ipanema,madrugada,2,True,ok,1.0449999130676717,11309683_2,0,SE→rede,2721.4823255934884,117.60699091996766,2721.4823255934884,vminpu=0.9,False,não convergiu,1.0449999124729072,11309683_2,0,SE→rede,,,,"maxiterations=100,vminpu=0.9,model=2",-5.947644599046953e-10,0,,,False
cluster,ipanema,meio_dia,12,True,ok,1.0449998789205754,11309683_2,0,SE→rede,4818.848694662729,215.45018372591758,4818.848694662729,vminpu=0.9,False,não convergiu,6.898928431465637e+138,pts0001_mt_442857,314,SE→rede,,,,"maxiterations=100,vminpu=0.9,model=2",6.898928431465637e+138,314,,,False
cluster,ipanema,ponta_noite,19,True,ok,1.044999879050945,11309683_2,0,SE→rede,4072.295346419424,183.65080595496508,4072.295346419424,vminpu=0.9,False,não convergiu,4.2720027905343824e+116,pts0001_mt_444014,314,SE→rede,,,,"maxiterations=100,vminpu=0.9,model=2",4.2720027905343824e+116,314,,,False
cluster,taquara,madrugada,2,True,ok,1.0449997413250465,tqr33859_mt_50380,0,SE→rede,4587.3158609534985,306.99270745756286,4587.3158609534985,vminpu=0.9,True,ok,1.0450949552938642,tqr33859_mt_395491,0,SE→rede,0.0008682608208926026,132.76683690949258,0.0008682608208926026,,9.521396881773114e-05,0,-4587.314992692677,-174.22587054807028,True
cluster,taquara,meio_dia,12,True,ok,1.0449997566215814,tqr33859_mt_50380,0,SE→rede,5099.610235106107,359.5242851170033,5099.610235106107,vminpu=0.9,False,não convergiu,,,0,SE→rede,,,,"maxiterations=100,vminpu=0.9,model=2",,0,,,False
cluster,taquara,ponta_noite,19,True,ok,1.044999712126542,tqr33859_mt_50380,0,SE→rede,5507.310506195756,373.470714995117,5507.310506195756,vminpu=0.9,True,ok,1.0450949552938642,tqr33859_mt_395491,0,SE→rede,0.0008682608208926026,132.76683690949258,0.0008682608208926026,,9.524316732223426e-05,0,-5507.3096379349345,-240.70387808562444,True
