COD_ID,NOME,tipo,SUB,SUB_NOME,UNI_TR_AT,TEN_NOM,TEN_NOM_kV,MUN,km_MT,ENE_MWh_ano,ENE_UC_MWh_ano,n_UNTRMT,kVA_instalado,n_UCBT,n_UCMT,n_DER,kW_DER,chaves_total,chaves_NA,chaves_NF,chaves_telecomandadas,NA_interligacao,NA_interligacao_telecomandada,NA_interligacao_SE,NA_interligacao_campo,NA_interligacao_campo_telecomandada,n_vizinhos,vizinhos,n_UNREMT,n_UNCRMT,lon_min,lat_min,lon_max,lat_max,score,n_clientes,CONJ_CODIGO,CONJ_NOME,ties_campo,ties_telecomandadas,ties_manuais,pares_ctmt_vizinho,grau,sem_socorro,alimentadores_socorro,subestacoes_socorro,subestacoes_socorro_nomes,conjuntos_socorro,conjuntos_socorro_nomes,chaves_campo,componente_id,tamanho_componente
MTO00002,LSA MATRIZ,LSA,29148432,SETD MATO ALTO,113095915,67,25.0,3304557,76.986,49255.842,21275.947,161,28925.0,9720,2,113,719.66,153,42,111,434909269;916893595;960125578;960168517;963054087;977348806;978761556;990977986,40,11,6,34,8,9,ESP016;MTO00001;MTO00004;MTO0003;PCI0005;PCI0015;PCI0016;STS001;STS004,0,0,-43.65177,-23.012706,-43.539798,-22.938133,330548,9722,16900,PACIENCIA,34,8,26,36,9,False,ESP016;MTO00001;MTO00004;MTO0003;PCI0005;PCI0015;PCI0016;STS001;STS004,18519958;18521136;29148432;450101398,SETD ESPERANCA;SETD MATO ALTO;SETD PACIENCIA;SETD SANTISSIMO,15042;16898;16899;16900,ESPERANCA AEREO AT/MT;MATO ALTO;PACIENCIA;SANTISSIMO AEREO,132234257;135213795;135518664;138537356;142453465;20684964;20711837;20816976;23262669;23407567;23651131;25197555;25635377;25635426;25679915;434909269;434909289;455241418;478231387;488614276;488614301;488614327;489112573;489438892;54904423;549436427;553307729;916893595;960125578;960168517;963054087;977348806;978761556;990977986,1,1097
STS004,LSA LETICIA,LSA,18521136,SETD SANTISSIMO,18915485,67,25.0,3304557,59.974,50962.785,32826.577,191,34377.5,12827,15,293,2001.76,169,39,130,504682415;998604111,36,3,6,30,2,15,CAM017;CHR0001;CHR0003;CHR002;CHR016;JAB00005;JAB00018;JAB00020;JAB002;JAB003;JAB012;MTO00002;STS001;STS002;STS003,0,0,-43.58467,-22.938122,-43.508761,-22.860702,385260,12842,15042,SANTISSIMO AEREO,30,2,28,30,15,False,CAM017;CHR0001;CHR0003;CHR002;CHR016;JAB00005;JAB00018;JAB00020;JAB002;JAB003;JAB012;MTO00002;STS001;STS002;STS003,18520488;18520749;18520758;18521136;29148432,SETD CACHAMORRA;SETD CAMARA;SETD JABOATAO;SETD MATO ALTO;SETD SANTISSIMO,14991;15011;15029;15042;16900,CACHAMORRA;CAMARA;JABOATAO AEREO;PACIENCIA;SANTISSIMO AEREO,20688037;20711837;20713685;20719040;20722666;20722715;20727160;20733439;20733502;20733530;20738374;20739760;20767401;20767464;20781040;20781047;20781117;20788022;20802742;20802798;20816108;20819979;25927767;29547962;335344240;504682415;518170006;789421898;807117418;998604111,1,1097
CAM007,LDA SUEZ,LDA,18520488,SETD CAMARA,18915100,46,13.2,3304557,9.177,21976.0,14486.641,67,7890.0,3755,5,77,981.094,61,28,33,1000755409;716982063,30,2,0,30,2,7,CAM003;CAM006;CAM011;CAM014;CAM019;PMG007;STS005,0,1,-43.483351,-22.888562,-43.444033,-22.876497,112800,3760,14991,CAMARA,30,2,28,31,7,False,CAM003;CAM006;CAM011;CAM014;CAM019;PMG007;STS005,18520479;18520488;18521136,SETD CAMARA;SETD PADRE MIGUEL;SETD SANTISSIMO,14991;15019;15042,CAMARA;PADRE MIGUEL;SANTISSIMO AEREO,1000755409;20680589;20680631;20680638;20680652;20680659;20680729;20805325;20805332;20805339;20805353;20805374;20805381;20805402;20805409;20805437;20805451;20805458;20805465;20805472;20805479;20805500;20805514;20805535;20805542;20805556;20805563;20805577;466976858;716982063,1,1097
STS001,LSA CAVADO,LSA,18521136,SETD SANTISSIMO,18915490,67,25.0,3304557,65.554,34027.789,27559.617,228,41157.0,13191,6,307,2043.74,246,65,181,740972740;756096174;978761556;997878462,40,5,12,28,4,18,CHR0007;CHR013;CHR014;CHR020;CHR06;ESP017;JAB003;JAB004;JAB013;MTO00001;MTO00002;MTO00004;MTO0003;STS002;STS003;STS004;STS005;STS006,0,2,-43.615962,-22.962824,-43.512636,-22.865292,369516,13197,15042,SANTISSIMO AEREO,28,4,24,30,17,False,CHR0007;CHR013;CHR014;CHR020;CHR06;ESP017;JAB003;JAB004;JAB013;MTO00001;MTO00002;MTO0003;STS002;STS003;STS004;STS005;STS006,18519958;18520749;18520758;18521136;29148432,SETD CACHAMORRA;SETD ESPERANCA;SETD JABOATAO;SETD MATO ALTO;SETD SANTISSIMO,15011;15029;15042;16898;16900,CACHAMORRA;JABOATAO AEREO;MATO ALTO;PACIENCIA;SANTISSIMO AEREO,135518664;20659404;20683347;20683431;20683459;20687995;20688037;20688114;20724983;20733439;20734272;20816976;23008307;23010353;23253911;25927767;29213480;29547962;478231387;502359645;740972740;756096174;775047989;778336685;807117418;811592965;978761556;997878462,1,1097
CSO005,LDA ALFAZEMA/ORQUIDEA,LDA,18520821,SETD COMENDADOR SOARES,18915240,46,13.2,3303500,33.1,48708.658,24194.191,154,16927.5,12912,6,114,802.72,88,26,62,1012198911;764413706;916618775;926396232,27,4,0,27,4,10,CRM0008;CSO00015;CSO002;CSO004;CSO006;CSO008;CSO010;CSO013;NIG030;QMD007,0,2,-43.533359,-22.772029,-43.474967,-22.732815,348786,12918,15048,COMENDADOR SOARES,27,4,23,27,10,False,CRM0008;CSO00015;CSO002;CSO004;CSO006;CSO008;CSO010;CSO013;NIG030;QMD007,18519976;18520821;18520893;280389625,SETD CARMARI;SETD COMENDADOR SOARES;SETD NOVA IGUACU;SETD QUEIMADOS,15048;15691;15692;15698,CARMARI;COMENDADOR SOARES;NOVA IGUACU;QUEIMADOS AEREO,1012198911;20661049;20661056;20661098;20661112;20661119;20661126;20661238;20671930;20671937;20671958;20703297;20709289;20712054;20721546;20748534;20802497;20802504;20802518;20802532;20819405;25472581;764413706;764413724;916618775;926396232;926396252,1,1097
NIG029,LSA TROPICAL,LSA,18519976,SETD NOVA IGUACU,18915395,67,25.0,3303500,50.176,51673.562,33724.017,188,29060.0,10214,7,86,718.89,140,42,98,111244739;464602373;986018423;987405364;989612474;990003231,36,8,9,27,6,10,ABR00019;ABR005;ABR017;CRM0004;CRM0009;NIG0004;NIG012;NIG026;NIG028;RFR007,0,0,-43.445983,-22.761473,-43.400786,-22.692186,275967,10221,15692,NOVA IGUACU,27,6,21,27,9,False,ABR00019;ABR005;ABR017;CRM0004;CRM0009;NIG012;NIG026;NIG028;RFR007,18519976;18520731;18520767;280389625,SETD AREIA BRANCA;SETD CARMARI;SETD NOVA IGUACU;SETD ROCHA FREIRE,14993;15054;15691;15692;15693,AREIA BRANCA AEREO;CARMARI;MERITI;NOVA IGUACU;ROCHA FREIRE AEREO AT/MT,111244739;130318629;20669627;20669641;20669648;20679252;20682297;20700112;20703472;20719691;20766155;20766211;20766358;20802063;20814155;20820931;20821148;29226970;295040762;440482830;464602373;520828207;782916515;986018423;987405364;989612474;990003231,1,1097
PDD9873,LDA SERPA/REIS,LDA,1231,SETD PIEDADE,1248189,46,13.2,3304557,15.548,38307.938,27924.7,141,16290.0,11423,9,86,741.55,96,26,70,730229122;869822754,28,2,3,25,2,13,CCD803;CCD826;PDD29513;PDD33543;PDD3356;PDD3800;PDD3984;PDD9870;PDD9896;TER29223;TER870;TER895;TER913,0,0,-43.316884,-22.899821,-43.282372,-22.871761,285800,11432,14998,PIEDADE,25,2,23,25,11,False,CCD803;CCD826;PDD29513;PDD33543;PDD3800;PDD3984;PDD9896;TER29223;TER870;TER895;TER913,1123;1186;1231,SETD CASCADURA;SETD PIEDADE;SETD TERRA NOVA,14998;15034;15044,CASCADURA AEREO;PIEDADE;TERRA NOVA AEREO,136880196;14909013;1553962;1554018;1554067;1582363;1589958;1589979;1593318;1600171;1600192;1600206;1600220;1600283;1600339;1600493;1600500;1600514;1600577;1600584;1600598;1607262;1626071;730229122;869822754,1,1097
QMD008,LSA CAMPONEZA,LSA,18520893,SETD QUEIMADOS,18915300,67,25.0,3304144,100.646,48108.525,19064.563,226,27610.0,7207,14,33,491.095,189,38,151,110231356;628560015;632317272,36,7,11,25,3,9,QMD001;QMD002;QMD003;QMD004;QMD005;QMD006;RFR006;SRD003;SRD004,0,0,-43.687978,-22.742755,-43.556571,-22.637193,180525,7221,15043,SEROPEDICA AEREO,25,3,22,25,5,False,QMD002;QMD003;QMD004;RFR006;SRD003,18520767;18520893;18521154,SETD QUEIMADOS;SETD ROCHA FREIRE;SETD SEROPEDICA,15043;15693;15698,QUEIMADOS AEREO;ROCHA FREIRE AEREO AT/MT;SEROPEDICA AEREO,110231356;127128201;127484651;127484663;20660475;20660489;20668262;20668311;20683011;20683109;20683130;20683151;20683270;20696241;20714700;20729127;20738822;30050891;449504525;483023550;628560015;632317272;673670001;693047578;803034051,1,1097
CSO002,LDA HORTENCIA/CENTAUREA,LDA,18520821,SETD COMENDADOR SOARES,18915350,46,13.2,3303500,27.043,39949.077,18115.262,136,14835.0,8998,9,102,841.43,94,22,72,702760414;865584629,24,2,0,24,2,12,CSO00017;CSO004;CSO005;CSO007;CSO010;CSO011;CSO013;CSO014;NIG009;NIG017;NIG030;STC00005,0,1,-43.519765,-22.756109,-43.455928,-22.732484,216168,9007,15048,COMENDADOR SOARES,24,2,22,24,12,False,CSO00017;CSO004;CSO005;CSO007;CSO010;CSO011;CSO013;CSO014;NIG009;NIG017;NIG030;STC00005,18519976;18520821;34192093,SETD COMENDADOR SOARES;SETD NOVA IGUACU;SETD SANTA CLARA,15048;15052;15692,COMENDADOR SOARES;NOVA IGUACU;SANTA CLARA AEREO,132315566;134337932;137884853;154833349;157868994;20661049;20661238;20678524;20678545;20689339;20689360;20709303;20715603;20715729;20737464;20757829;20757836;20757885;20803540;20817123;697096643;702760414;775672559;865584629,1,1097
RTO00014,LDA LUXEMBURGO,LDA,18520875,SETD RETIRO,18915280,46,13.2,3306305,15.613,15555.078,12403.339,56,5107.5,4897,3,58,399.57,93,22,71,680732185;708282453;711077813,24,4,1,23,3,8,FTL006;RTO001;RTO008;RTO010;RTO011;RTO013;RTO014;VRD007,0,8,-44.13633,-22.544017,-44.116891,-22.496849,112700,4900,14995,RETIRO,23,3,20,24,8,False,FTL006;RTO001;RTO008;RTO010;RTO011;RTO013;RTO014;VRD007,18520470;18520875;18521064,SETD FONTINELE;SETD RETIRO;SETD VOLTA REDONDA,14995;15007,FONTINELE;RETIRO,158985367;158985399;20678251;20680169;20701407;20701484;20701491;20701498;20701505;20701519;20701561;20701568;20701645;20719509;20719628;20737744;226023310;277886251;30779907;680732185;708282453;708282498;711077813,1,1097
PDD29513,LDA PIAUI/LDA DIVINOR,LDA,1231,SETD PIEDADE,1248199,46,13.2,3304557,15.392,42606.018,25385.465,134,15425.0,9646,14,77,876.63,94,25,69,707573967;798881895;974209945,23,3,1,22,3,9,BMT0001;CBI33806;CCD224;CCD70145;CCD757;PDD29568;PDD3356;PDD3800;PDD9873,0,0,-43.317143,-22.895229,-43.290427,-22.87098,212520,9660,14998,PIEDADE,22,3,19,24,8,False,BMT0001;CBI33806;CCD224;CCD70145;CCD757;PDD29568;PDD3356;PDD9873,1141;1186;1195;1231,SETD BOCA DO MATO;SETD CACHAMBI;SETD CASCADURA;SETD PIEDADE,14998;15027;15034,CACHAMBI AEREO;CASCADURA AEREO;PIEDADE,1553962;1553990;1554018;1554067;1603594;1603678;1603720;1603734;1607129;1607262;1612148;1613156;1625371;1625966;1626071;1628353;1628367;654263917;706079609;707573967;798881895;974209945,1,1097
ESP018,LSA FRAMBEL,LSA,18519958,SETD ESPERANCA,717020753,67,25.0,3304557,98.58,14048.286,19446.561,226,30350.0,9660,27,131,6060.702,180,43,137,543993984;776389613;971839614,27,5,6,21,3,10,BRI00005;ESP003;ESP009;ESP019;ESP020;MRP00004;QMD002;SRD002;STS002;ZIN005,1,0,-43.752404,-22.912859,-43.624824,-22.76301,203427,9687,15070,ESPERANCA AEREO MT/MT,21,3,18,22,10,False,BRI00005;ESP003;ESP009;ESP019;ESP020;MRP00004;QMD002;SRD002;STS002;ZIN005,18519958;18520893;18520911;18521136;18521154;18521208;224567922,SETD BRISAMAR;SETD ESPERANCA;SETD MARAPICU;SETD QUEIMADOS;SETD SANTISSIMO;SETD SEROPEDICA;SETD ZONA INDUSTRIAL,15006;15042;15043;15696;15697;16899,BRISA MAR;ESPERANCA AEREO AT/MT;MARAPICU;SANTISSIMO AEREO;SEROPEDICA AEREO;ZONA INDUSTRIAL,142728448;159925777;20707028;20707042;20707105;20716485;20716520;20716555;20716618;20716639;20776994;20777001;20777050;25464541;26601219;28671093;28672881;543993984;776389613;780627732;971839614,1,1097
NIG009,LDA MOQUETA,LDA,18519976,SETD NOVA IGUACU,18915385,46,13.2,3303500,13.53,26245.905,22460.493,100,11805.0,5266,14,80,623.34,57,17,40,744837327,22,1,1,21,1,9,CRM0005;CSO00017;CSO002;NIG0004;NIG003;NIG012;NIG015;NIG017;NIG018,0,0,-43.460044,-22.758874,-43.44503,-22.73146,110880,5280,15692,NOVA IGUACU,21,1,20,21,9,False,CRM0005;CSO00017;CSO002;NIG0004;NIG003;NIG012;NIG015;NIG017;NIG018,18519976;18520821;280389625,SETD CARMARI;SETD COMENDADOR SOARES;SETD NOVA IGUACU,15048;15691;15692,CARMARI;COMENDADOR SOARES;NOVA IGUACU,132315566;20674961;20675059;20737338;20737436;20737464;20775013;20803498;20803505;20803519;20803547;20803582;20803589;20803631;20807285;308374572;310366167;490271772;744837327;744837336;775672559,1,1097
QMD002,LSA MARAJO,LSA,18520893,SETD QUEIMADOS,18915295,67,25.0,3304144,112.611,52734.981,35177.923,263,25297.5,3458,34,37,4383.678,262,45,217,110231356;632317272,37,5,16,21,2,14,ESP018;QMD001;QMD003;QMD004;QMD005;QMD006;QMD007;QMD008;QMD009;QMD010;SRD0005;SRD003;STC00013;STC0014,0,0,-43.704612,-22.768266,-43.557351,-22.678356,73332,3492,15043,SEROPEDICA AEREO,21,2,19,22,8,False,ESP018;QMD001;QMD008;QMD009;SRD0005;SRD003;STC00013;STC0014,18519958;18520893;18521154;34192093,SETD ESPERANCA;SETD QUEIMADOS;SETD SANTA CLARA;SETD SEROPEDICA,15043;15052;15070;15698,ESPERANCA AEREO MT/MT;QUEIMADOS AEREO;SANTA CLARA AEREO;SEROPEDICA AEREO,110231356;110304359;131632600;20668262;20668311;20683130;20683151;20690907;20690914;20729127;20760510;20818005;20818152;20818320;20818432;28672881;30050891;30307596;449504525;632317272;673670001,1,1097
CEN005,LSA MATACAES,LSA,18520353,SETD CENTENARIO,18915145,67,25.0,3306206,408.202,21238.855,26136.652,811,48755.0,10095,16,173,8483.411,523,81,442,476410819;491538937;718559279;936495704;936796275;999385622,26,8,5,21,6,6,CEN002;CEN004;CEN006;SCI007;SCI008;SRD004,1,0,-43.704794,-22.567076,-43.352411,-22.399859,212331,10111,15089,CENTENARIO AEREO MT/MT,21,6,15,21,6,False,CEN002;CEN004;CEN006;SCI007;SCI008;SRD004,18520299;18520353;18521154,SETD CENTENARIO;SETD SANTA CECILIA;SETD SEROPEDICA,15043;15074;15089;15090,CENTENARIO AEREO AT/MT;CENTENARIO AEREO MT/MT;SANTA CECILIA AEREO MT/MT;SEROPEDICA AEREO,133131322;20681583;20681709;20802308;20802315;20805584;20814113;20815030;29772281;362198962;476410819;491538927;491538937;496704464;641682501;718559279;870166236;936495704;936495713;936796275;999385622,1,1097
MNB014,LDA LUSSAC,LDA,18520902,SETD MENA BARRETO,18915320,46,13.2,3302858,9.406,27846.054,17925.088,60,7515.0,4729,8,42,422.22,45,18,27,633515393;960082684;960207148;977503402,21,4,0,21,4,6,MNB00008;MNB001;MNB005;MNB016;NIG006;NIG014,0,1,-43.438445,-22.798192,-43.422233,-22.768804,99477,4737,15057,MENA BARRETO AEREO,21,4,17,21,6,False,MNB00008;MNB001;MNB005;MNB016;NIG006;NIG014,18519976;18520902,SETD MENA BARRETO;SETD NOVA IGUACU,15057;15692,MENA BARRETO AEREO;NOVA IGUACU,20708575;20727216;20727223;20727230;20727244;20727258;20727265;20727272;20727314;20727349;20727370;20727384;20727391;20727398;20727405;20790416;633515360;633515393;960082684;960207148;977503402,1,1097
QMD004,LSA HEMETERIO,LSA,18520893,SETD QUEIMADOS,18915295,67,25.0,3304144,155.808,59022.212,18082.828,416,49472.5,12000,18,47,1259.325,303,63,240,628560015;996530111;997204931,29,6,8,21,3,6,QMD002;QMD003;QMD008;RFR006;SRD004;STC00013,0,0,-43.659454,-22.742759,-43.52238,-22.595006,252378,12018,15698,QUEIMADOS AEREO,21,3,18,22,5,False,QMD003;QMD008;RFR006;SRD004;STC00013,18520767;18520893;18521154;34192093,SETD QUEIMADOS;SETD ROCHA FREIRE;SETD SANTA CLARA;SETD SEROPEDICA,15043;15052;15693;15698,QUEIMADOS AEREO;ROCHA FREIRE AEREO AT/MT;SANTA CLARA AEREO;SEROPEDICA AEREO,1014109786;127128201;127484651;127484663;20660475;20668031;20683011;20683270;20696241;20714686;20714700;20720398;20721154;20738822;483023550;628560015;693047578;803034051;97886191;996530111;997204931,1,1097
MTO0003,LSA DART,LSA,29148432,SETD MATO ALTO,553226495,67,25.0,3304557,73.816,51442.464,36307.316,221,34655.0,10873,18,149,2580.82,190,43,147,434909269;550394086;628976635;689938511;702833405;963054087;997878462,22,7,1,21,7,5,CHR009;ESP016;MTO00002;MTO00004;STS001,0,0,-43.629034,-23.000028,-43.550985,-22.939811,228711,10891,16898,MATO ALTO,21,7,14,22,5,False,CHR009;ESP016;MTO00002;MTO00004;STS001,18519958;18520758;18521136;29148432,SETD CACHAMORRA;SETD ESPERANCA;SETD MATO ALTO;SETD SANTISSIMO,15011;15042;16898;16899;16900,CACHAMORRA;ESPERANCA AEREO AT/MT;MATO ALTO;PACIENCIA;SANTISSIMO AEREO,138537356;23010353;23740077;23740335;23741061;25197555;300159275;434909269;434909289;455241418;472636302;502359645;549436427;550394086;609603254;628976635;689938511;702833405;780920387;963054087;997878462,1,1097
CAM011,LDA JACERDA,LDA,18520488,SETD CAMARA,18915510,46,13.2,3304557,8.999,22248.0,14597.2,60,6832.5,3688,12,55,383.0,40,13,27,654654734;716982063,21,2,0,21,2,5,CAM003;CAM006;CAM007;CAM012;CAM014,0,0,-43.483216,-22.888507,-43.450285,-22.876911,77700,3700,14991,CAMARA,21,2,19,21,5,False,CAM003;CAM006;CAM007;CAM012;CAM014,18520488,SETD CAMARA,14991,CAMARA,20231225;20720041;20720083;20720111;20720118;20720188;20720216;20720223;20720230;20720244;20805339;20805381;20805409;20805437;20805451;20805472;20805556;20805577;460922269;654654734;716982063,1,1097
ESP017,LSA BARBARIO,LSA,18519958,SETD ESPERANCA,717020753,67,25.0,3304557,79.41,83158.912,30899.783,327,58202.5,22549,10,218,1590.66,255,70,185,691961014;998595524,27,5,7,20,2,10,CMS008;ESP013;ESP016;ESP020;PCI0004;PCI0006;PCI0007;PCI0008;PCI0014;STS001,0,0,-43.713501,-22.988239,-43.612323,-22.882313,451180,22559,16900,PACIENCIA,20,2,18,20,10,False,CMS008;ESP013;ESP016;ESP020;PCI0004;PCI0006;PCI0007;PCI0008;PCI0014;STS001,18519958;18520839;18521136;450101398,SETD COSMOS;SETD ESPERANCA;SETD PACIENCIA;SETD SANTISSIMO,15042;16897;16899;16900,COSMOS;ESPERANCA AEREO AT/MT;PACIENCIA;SANTISSIMO AEREO,20667422;20667618;20668199;20689038;20778695;20815716;22415299;22415797;22803447;23253911;23651342;25227469;25227481;28344822;28821480;56728211;675726427;691961014;740371542;998595524,1,1097
ITG0007,LDA THEODORA,LDA,310129856,SETD ITAGUAI,310131071,46,13.2,3302007,41.588,25436.435,15749.56,139,13057.5,5701,15,136,1533.483,83,17,66,498954290,20,1,0,20,1,8,BRI001;BRI003;ITG0003;ITG0005;ITG0006;ITG0008;ITG0009;ITG0010,0,0,-43.821917,-22.882523,-43.755908,-22.80886,114320,5716,15694,ITAGUAI,20,1,19,20,8,False,BRI001;BRI003;ITG0003;ITG0005;ITG0006;ITG0008;ITG0009;ITG0010,18521208;310129856,SETD BRISAMAR;SETD ITAGUAI,15006;15694,BRISA MAR;ITAGUAI,133393159;20701890;20701897;20701911;20701939;20701960;20702121;20702156;20702163;20791200;20791256;22322738;262896583;263292013;264360367;265133278;276640970;294984935;498954290;54585418,1,1097
DMC3326,LDA PROCLAMACAO/DARKE,LDA,1168,SETD DEMOCRATICOS,1248139,46,13.2,3304557,12.317,19097.277,10827.71,88,10365.0,4753,9,19,364.3,75,20,55,919955211,19,1,0,19,1,12,DMC3523;DMC631;DMC660;DMC739;DMC772;DMC925;DMC9989;PER0001;PER29500;RAM33535;TER822;TRG275,0,2,-43.268371,-22.875937,-43.249343,-22.860101,90478,4762,15056,DEMOCRATICOS AEREO,19,1,18,21,12,False,DMC3523;DMC631;DMC660;DMC739;DMC772;DMC925;DMC9989;PER0001;PER29500;RAM33535;TER822;TRG275,1123;1132;1168;1204;1240,SETD DEMOCRATICOS;SETD PEDRO ERNESTO;SETD RAMOS;SETD TERRA NOVA;SETD TRIAGEM,15015;15044;15056;15061,DEMOCRATICOS AEREO;PEDRO ERNESTO AEREO;RAMOS AEREO;TERRA NOVA AEREO,1249270;1597938;1598050;1598064;1608928;1608977;1621304;1623936;1624055;1624181;1627632;1627667;1627674;1627695;34408300;455979872;47231684;47231693;919955211,1,1097
PVN0004,LDA PARREIRAS,LDA,1303,SETD PAVUNA,1248379,46,13.2,3304557,16.644,34995.888,12015.217,95,10980.0,7925,5,43,591.903,58,15,43,584928807,19,1,0,19,1,9,CRO007;MNB013;MNB017;PVN29958;PVN70296;PVN9828;PVN9833;ROS004;ROS015,0,1,-43.40853,-22.816515,-43.386273,-22.77969,150670,7930,14994,PAVUNA,19,1,18,19,9,False,CRO007;MNB013;MNB017;PVN29958;PVN70296;PVN9828;PVN9833;ROS004;ROS015,1303;18519985;18520902;18521055,SETD COELHO DA ROCHA;SETD MENA BARRETO;SETD PAVUNA;SETD ROSALI,14994;14996;15035;15057,COELHO DA ROCHA;MENA BARRETO AEREO;PAVUNA;ROSALI,138503123;153373122;1615452;20680022;20698551;20698558;20698565;20705733;20739396;20739410;20739438;215189538;223236557;229858037;28881479;30032501;518049726;584928807;97143387,1,1097
CSO013,LDA GIRASSOL,LDA,18520821,SETD COMENDADOR SOARES,54431863,46,13.2,3303500,12.849,21493.312,9859.089,66,7410.0,5593,6,36,382.44,51,14,37,764821655;970379767;985979753;995259115,20,4,1,19,4,10,CRM0003;CRM0007;CRM0008;CSO001;CSO002;CSO004;CSO005;CSO007;CSO011;CSO014,0,1,-43.493825,-22.756399,-43.479162,-22.721279,106381,5599,15048,COMENDADOR SOARES,19,4,15,19,9,False,CRM0003;CRM0007;CRM0008;CSO001;CSO002;CSO004;CSO005;CSO007;CSO011,18520821;280389625,SETD CARMARI;SETD COMENDADOR SOARES,15048;15691,CARMARI;COMENDADOR SOARES,20678370;20678552;20678566;20709191;20709247;20709289;20709303;20715687;20715806;20726313;20757913;20804800;713813166;713813175;764821646;764821655;970379767;985979753;995259115,1,1097
STS003,LSA DOCABRITO,LSA,18521136,SETD SANTISSIMO,18915485,67,25.0,3304557,88.1,60850.22,34608.502,239,36952.5,10303,27,160,1568.76,224,42,182,717274055;773521249;998604111,31,6,12,19,3,8,CAM017;ESP020;JAB00017;JAB003;STS001;STS004;STS005;STS006,0,0,-43.625929,-22.879226,-43.511103,-22.821889,196270,10330,15042,SANTISSIMO AEREO,19,3,16,20,8,False,CAM017;ESP020;JAB00017;JAB003;STS001;STS004;STS005;STS006,18519958;18520488;18520749;18521136,SETD CAMARA;SETD ESPERANCA;SETD JABOATAO;SETD SANTISSIMO,14991;15029;15042;16899,CAMARA;ESPERANCA AEREO AT/MT;JABOATAO AEREO;SANTISSIMO AEREO,1012684155;20662176;20662197;20662246;20662260;20662358;20711949;20733439;20733502;20733523;20733530;20734125;20759537;215387069;22804039;478338743;717274055;773521249;998604111,1,1097
ABR016,LDA CASEIROS,LDA,18520731,SETD AREIA BRANCA,18915210,46,13.2,3300456,14.923,31828.978,9898.135,95,10050.0,8244,4,73,529.57,49,16,33,1001446742;741483750;977524867;997384616,19,4,0,19,4,8,ABR00019;ABR004;ABR005;ABR008;ABR012;NIG008;NIG012;NIG013,0,0,-43.436111,-22.748634,-43.397457,-22.732806,156712,8248,15054,AREIA BRANCA AEREO,19,4,15,19,8,False,ABR00019;ABR004;ABR005;ABR008;ABR012;NIG008;NIG012;NIG013,18519976;18520731,SETD AREIA BRANCA;SETD NOVA IGUACU,15054;15692,AREIA BRANCA AEREO;NOVA IGUACU,1001446742;111610156;20686791;20686861;20686910;20686945;20686966;20686994;20687015;20687022;20687029;20687043;20687050;20819685;20821106;741483741;741483750;977524867;997384616,1,1097
PCI0005,LDA SINIMBU,LDA,450101398,SETD PACIENCIA,450102116,46,13.2,3304557,36.619,34460.32,14187.107,159,17700.0,7351,11,87,1549.41,89,24,65,959593135;988229752,19,2,0,19,2,8,MTO00001;MTO00002;PCI0003;PCI0004;PCI0011;PCI0014;PCI0015;PCI0016,1,0,-43.663334,-22.974484,-43.605938,-22.934816,139878,7362,16900,PACIENCIA,19,2,17,19,8,False,MTO00001;MTO00002;PCI0003;PCI0004;PCI0011;PCI0014;PCI0015;PCI0016,29148432;450101398,SETD MATO ALTO;SETD PACIENCIA,16898;16899;16900,ESPERANCA AEREO AT/MT;MATO ALTO;PACIENCIA,132234257;22686664;22765775;22943779;25258914;25679330;25679745;25680409;25680532;25681034;343966594;425226328;488614276;488901975;489438892;737620202;749367429;959593135;988229752,1,1097
RTO002,LDA AMAZONAS,LDA,18520875,SETD RETIRO,18915285,46,13.2,3306305,12.587,19622.848,17088.849,77,7920.0,5486,10,88,723.91,41,13,28,742338247,19,1,0,19,1,8,RTO001;RTO003;RTO006;RTO007;RTO009;VRD001;VRD005;VRD009,0,1,-44.121141,-22.507724,-44.090808,-22.495653,104424,5496,14995,RETIRO,19,1,18,19,8,False,RTO001;RTO003;RTO006;RTO007;RTO009;VRD001;VRD005;VRD009,18520470;18520875,SETD RETIRO;SETD VOLTA REDONDA,14995;15084,RETIRO;VOLTA REDONDA AEREO AT/MT,1003353306;20661546;20661560;20661973;20662043;20662064;20662071;20662078;20662092;20695156;20710185;20739074;20739109;29227382;30281698;33468008;501517732;742338238;742338247,1,1097
ESP004,LDA FELICARDO,LDA,18519958,SETD ESPERANCA,18915340,46,13.2,3304557,15.462,30517.993,11413.074,92,9622.5,6196,6,72,620.64,59,21,38,1003477804;1004800368,20,3,1,19,2,7,ESP002;ESP007;ESP011;ESP012;ESP013;PCI0004;PCI0014,0,1,-43.681142,-22.947343,-43.653986,-22.912589,117838,6202,16899,ESPERANCA AEREO AT/MT,19,2,17,19,7,False,ESP002;ESP007;ESP011;ESP012;ESP013;PCI0004;PCI0014,18519958;450101398,SETD ESPERANCA;SETD PACIENCIA,16899;16900,ESPERANCA AEREO AT/MT;PACIENCIA,1003477804;1004800368;20667443;20703710;20703815;20703836;20703850;20703864;20703871;20777253;20777260;22931452;25346258;25346286;25940219;29628733;452815201;463425999;552517865,1,1097
