COD_ID,NOME,tipo,SUB,SUB_NOME,UNI_TR_AT,TEN_NOM,TEN_NOM_kV,MUN,km_MT,ENE_MWh_ano,ENE_UC_MWh_ano,n_UNTRMT,kVA_instalado,n_UCBT,n_UCMT,n_DER,kW_DER,chaves_total,chaves_NA,chaves_NF,chaves_telecomandadas,NA_interligacao,NA_interligacao_telecomandada,NA_interligacao_SE,NA_interligacao_campo,NA_interligacao_campo_telecomandada,n_vizinhos,vizinhos,n_UNREMT,n_UNCRMT,lon_min,lat_min,lon_max,lat_max,score,n_clientes,CONJ_CODIGO,CONJ_NOME,ties_campo,ties_telecomandadas,ties_manuais,pares_ctmt_vizinho,grau,sem_socorro,alimentadores_socorro,subestacoes_socorro,subestacoes_socorro_nomes,conjuntos_socorro,conjuntos_socorro_nomes,chaves_campo,componente_id,tamanho_componente
SJO0013,LDA DONACLARA,LDA,310718139,SETD SAO JOAO,310718374,46,13.2,3301702,9.262,29362.88,6629.861,65,7237.5,4090,3,21,304.79,27,11,16,765345572,14,1,2,12,1,8,ROS002;ROS007;SJO0003;SJO0004;SJO0005;SJO0010;SJO0012;SJO0014,0,0,-43.358943,-22.771388,-43.329588,-22.7614,49116,4093,15699,SAO JOAO,12,1,11,12,6,False,ROS002;ROS007;SJO0004;SJO0005;SJO0010;SJO0012,18519985;310718139,SETD ROSALI;SETD SAO JOAO,14996;15699,ROSALI;SAO JOAO,109398679;20677236;20677264;20680316;20733950;20733978;275520266;284662603;288329237;37388406;765345562;765345572,1,1097
BPN33195,LDA SANONI,LDA,1159,SETD BRAS DE PINA,1248209,46,13.2,3304557,6.974,25599.405,5845.089,60,7680.0,4069,2,21,168.67,38,12,26,137940710,12,1,0,12,1,6,BPN00001;BPN29431;BPN29676;PER0002;PER70278;PER794,0,0,-43.293001,-22.849178,-43.27879,-22.82593,48852,4071,15017,BRAS DE PINA,12,1,11,12,6,False,BPN00001;BPN29431;BPN29676;PER0002;PER70278;PER794,1159;1240,SETD BRAS DE PINA;SETD PEDRO ERNESTO,15017;15061,BRAS DE PINA;PEDRO ERNESTO AEREO,133135488;137940710;1580991;1581026;1581047;1581061;1581068;1581089;1581138;1581145;239094249;99986843,1,1097
CXS023,LDA ROSARIO,LDA,18520785,SETD CAXIAS,18915305,46,13.2,3301702,7.241,15522.985,5340.165,40,4657.5,3683,2,31,267.35,21,7,14,,12,0,0,12,0,6,CXS003;CXS015;CXS017;CXS024;SJO0006;SJO0008,0,0,-43.320576,-22.771343,-43.307472,-22.75677,44220,3685,15700,CAXIAS AEREO,12,0,12,12,6,False,CXS003;CXS015;CXS017;CXS024;SJO0006;SJO0008,18520785;310718139,SETD CAXIAS;SETD SAO JOAO,15699;15700,CAXIAS AEREO;SAO JOAO,20677215;20677306;20677313;20718907;20787833;20787847;20787854;20787868;20807600;282321945;285598256;285598343,1,1097
AGR008,LDA MELGACO,LDA,1285,SETD AGUA GRANDE,1248369,46,13.2,3304557,7.112,7651.2,3145.976,68,8407.5,3055,1,12,46.56,27,4,23,,12,0,0,12,0,6,AGR002;AGR011;BPN29858;BPN29920;MRT273;VGE3703,0,1,-43.313306,-22.828669,-43.294256,-22.810293,36672,3056,15045,AGUA GRANDE AEREO,12,0,12,13,6,False,AGR002;AGR011;BPN29858;BPN29920;MRT273;VGE3703,1159;1267;1285;1312,SETD AGUA GRANDE;SETD BRAS DE PINA;SETD MERITI;SETD VIGARIO GERAL,15017;15045;15062,AGUA GRANDE AEREO;BRAS DE PINA;VIGARIO GERAL AEREO,1601137;1601242;1601340;1601347;1601361;1613625;1614647;1614710;1627191;1627345;1627394;1627408,1,1097
ESP020,LSA BELIZARIO,LSA,18519958,SETD ESPERANCA,717020753,67,25.0,3304557,53.046,13872.499,27802.92,11,6692.5,55,12,4,7587.095,78,17,61,470206180;488657394,17,3,5,12,2,7,BRI00005;ESP006;ESP017;ESP018;SRD002;STS002;STS003,1,0,-43.740758,-22.912331,-43.624278,-22.758646,804,67,16899,ESPERANCA AEREO AT/MT,12,2,10,13,6,False,BRI00005;ESP006;ESP017;ESP018;STS002;STS003,18519958;18521136;18521208,SETD BRISAMAR;SETD ESPERANCA;SETD SANTISSIMO,15006;15042;15070;16899;16900,BRISA MAR;ESPERANCA AEREO AT/MT;ESPERANCA AEREO MT/MT;PACIENCIA;SANTISSIMO AEREO,159925777;161725091;20707105;22803447;22803722;22804039;22981601;25464541;394197789;470206180;488657394;780627732,1,1097
NIG026,LSA NOVANIL,LSA,18519976,SETD NOVA IGUACU,18915395,67,25.0,3303500,40.237,8967.986,8710.685,0,0.0,0,3,0,0.0,40,9,31,464602373,14,1,2,12,1,8,CRO004;MNB012;MRT2135;MRT2929;NIG0004;NIG025;NIG027;NIG029,0,0,-43.445576,-22.810157,-43.326493,-22.697497,36,3,14993,MERITI,12,1,11,12,6,False,CRO004;MNB012;MRT2135;MRT2929;NIG027;NIG029,1312;18519976;18520902;18521055,SETD COELHO DA ROCHA;SETD MENA BARRETO;SETD MERITI;SETD NOVA IGUACU,14993;15035;15057;15692,COELHO DA ROCHA;MENA BARRETO AEREO;MERITI;NOVA IGUACU,20679952;20717157;20717248;20745118;20814155;24050790;29226970;38508611;440482830;464602373;687362181;877242818,1,1097
MNB005,LDA UNIAO,LDA,18520902,SETD MENA BARRETO,18915260,46,13.2,3302858,9.67,34829.003,6492.538,67,8062.5,7953,4,20,225.85,40,16,24,,13,0,1,12,0,6,MNB001;MNB006;MNB009;MNB014;MNB016;MNB018,0,0,-43.442087,-22.810968,-43.422093,-22.797607,95484,7957,15057,MENA BARRETO AEREO,12,0,12,12,5,False,MNB001;MNB006;MNB009;MNB014;MNB018,18520902,SETD MENA BARRETO,15057,MENA BARRETO AEREO,142213068;20727265;20728091;20815212;20815219;20815240;20815303;20815317;20815338;20815352;20815359;20815373,1,1097
CAM004,LDA MARMI,LDA,18520488,SETD CAMARA,18915100,46,13.2,3304557,14.936,40539.0,4320.14,91,10867.5,6779,1,7,32.59,53,15,38,463086607,13,1,1,12,1,6,CAM001;CAM002;CAM008;CAM015;CAM020;STS006,0,0,-43.509354,-22.888542,-43.482619,-22.865275,81360,6780,14991,CAMARA,12,1,11,12,5,False,CAM001;CAM002;CAM015;CAM020;STS006,18520488;18521136,SETD CAMARA;SETD SANTISSIMO,14991;15042,CAMARA;SANTISSIMO AEREO,20730758;20730814;20730828;20730835;20730856;20730863;20745020;20802707;20804310;20805969;295388617;463086607,1,1097
REC6,LDA ELIMATO,LDA,132097219,SETD RECREIO,132098328,46,13.2,3304557,23.404,29141.0,24884.634,137,16470.0,6583,13,345,4588.47,94,17,77,29463588;713422434;960061157;961568349,16,4,4,12,4,7,ITP000;ITP0004;ITP33370;REC00008;REC0001;REC37997;REC9,0,0,-43.470554,-23.01313,-43.443153,-22.976072,79152,6596,14999,RECREIO,12,4,8,12,5,False,ITP000;ITP0004;ITP33370;REC00008;REC9,10385988;132097219,SETD ITAPEBA;SETD RECREIO,14999;15060;15066,ITAPEBA AEREO URBANO;ITAPEBA SUBTERRANEO;RECREIO,103987890;11024786;11025080;141595120;155202367;29463588;295254908;713422434;713422443;739877769;960061157;961568349,1,1097
CXS018,LDA MONTELO,LDA,18520785,SETD CAXIAS,18915325,46,13.2,3301702,14.633,22144.142,15451.281,141,12510.0,6461,7,108,811.73,45,13,32,967541332;971165453,12,2,0,12,2,5,CXS0025;CXS006;CXS007;CXS011;CXS012,0,0,-43.311088,-22.773486,-43.283377,-22.75665,77616,6468,15700,CAXIAS AEREO,12,2,10,12,5,False,CXS0025;CXS006;CXS007;CXS011;CXS012,18520785,SETD CAXIAS,15700,CAXIAS AEREO,106817674;111687135;133500479;145566631;20685720;20692636;20728966;20736834;30444735;489772782;967541332;971165453,1,1097
PVN9857,LDA CASTRO,LDA,1303,SETD PAVUNA,1248379,46,13.2,3304557,9.272,22044.624,9130.369,70,7395.0,5779,5,55,474.07,53,12,41,,12,0,0,12,0,5,PVN0001;PVN0002;PVN3632;PVN70277;PVN9897,0,1,-43.414356,-22.830297,-43.388006,-22.816168,69408,5784,14994,PAVUNA,12,0,12,12,5,False,PVN0001;PVN0002;PVN3632;PVN70277;PVN9897,1303,SETD PAVUNA,14994,PAVUNA,102553735;102566573;1624811;1624818;1624846;1624860;1624916;1625035;1625119;1626197;17897475;59832665,1,1097
VRD002,LDA LARANJAL/LDA SIDEROPOLIS,LDA,18520470,SETD VOLTA REDONDA,18915400,46,13.2,3306305,41.093,25121.486,23150.561,163,14007.5,5669,10,225,1699.58,121,22,99,494179422,20,1,8,12,1,11,VRD0022;VRD007;VRD010;VRD012;VRD015;VRD016;VRD017;VRD018;VRD019;VRD020;VRD021,0,0,-44.101279,-22.586933,-44.04864,-22.513233,68148,5679,15084,VOLTA REDONDA AEREO AT/MT,12,1,11,12,5,False,VRD0022;VRD007;VRD010;VRD012;VRD018,18520470,SETD VOLTA REDONDA,14995;15084,RETIRO;VOLTA REDONDA AEREO AT/MT,20689605;20689647;20724535;20757724;20757759;20803729;230982883;37538234;488068923;494179422;680856938;728924114,1,1097
RTO013,LDA CAFEZAL,LDA,18520875,SETD RETIRO,18915285,46,13.2,3306305,15.618,14331.879,11440.282,55,4852.5,5632,3,55,487.27,42,10,32,625038995;658296237,13,2,1,12,2,6,FTL012;RTO00014;RTO006;RTO008;RTO010;RTO011,0,1,-44.157766,-22.505949,-44.12049,-22.489632,67620,5635,14995,RETIRO,12,2,10,12,5,False,FTL012;RTO00014;RTO006;RTO010;RTO011,18520875;18521064,SETD FONTINELE;SETD RETIRO,14995;15007,FONTINELE;RETIRO,158985367;158985399;20680169;20701652;20719558;20719572;20719656;20719663;20802119;264858350;625038995;658296237,1,1097
NIG013,LDA AGUIA,LDA,18519976,SETD NOVA IGUACU,18915380,46,13.2,3303500,10.68,25232.36,13935.78,75,8482.5,4883,3,92,852.69,30,9,21,755469277,12,1,0,12,1,5,ABR016;NIG008;NIG012;NIG023;NIG028,0,1,-43.445783,-22.758874,-43.434051,-22.73171,58632,4886,15692,NOVA IGUACU,12,1,11,13,5,False,ABR016;NIG008;NIG012;NIG023;NIG028,18519976;18520731,SETD AREIA BRANCA;SETD NOVA IGUACU,15054;15692,AREIA BRANCA AEREO;NOVA IGUACU,20658886;20659026;20686791;20686910;20699993;20700014;20700028;20700070;20807264;52611368;755469277;755469286,1,1097
