ctmt,origem,n_elementos_gd,n_empreendimentos_exatos,potencia_exata_kw,n_empreendimentos_agregados,potencia_agregada_kw,criterio_agregado,grupos_agregados
ALC9925,cluster Tijuca — CABOFRIO,215,29,225.86,5021,79.24533817371568,municipio proporcional à carga,3303500 / Nova Iguaçu (PVSystem); 3304557 / Rio de Janeiro (Generator); 3304557 / Rio de Janeiro (PVSystem)
RCP9882,cluster Tijuca — AMALIA,197,47,270.22,4574,76.018479127119,municipio proporcional à carga,3304557 / Rio de Janeiro (Generator); 3304557 / Rio de Janeiro (PVSystem)
URG29983,cluster Tijuca — BURLE MARX,148,54,472.64,4574,60.51582228021169,municipio proporcional à carga,3304557 / Rio de Janeiro (Generator); 3304557 / Rio de Janeiro (PVSystem)
PTS9924,cluster Ipanema — alimentador convergente,26,0,0.0,4574,20.645176565767077,municipio proporcional à carga,3304557 / Rio de Janeiro (Generator); 3304557 / Rio de Janeiro (PVSystem)
PTS4022,cluster Ipanema — alimentador convergente,10,0,0.0,4574,25.27386232989418,municipio proporcional à carga,3304557 / Rio de Janeiro (Generator); 3304557 / Rio de Janeiro (PVSystem)
GDN0022,alta penetração convergente na #97,4,2,29.580000000000002,4574,11.919631904497406,municipio proporcional à carga,3304557 / Rio de Janeiro (Generator); 3304557 / Rio de Janeiro (PVSystem)
TRS003,alta penetração convergente na #97,872,53,2022.84,4884,123.16534960772086,municipio proporcional à carga,3301801 / Engenheiro Paulo de Frontin (PVSystem); 3303708 / Paraíba do Sul (PVSystem); 3303856 / Paty do Alferes (PVSystem); 3303955 / Pinheiral (PVSystem); 3304557 / Rio de Janeiro (Generator); 3304557 / Rio de Janeiro (PVSystem); 3306008 / Três Rios (PVSystem)
BRI001,maior penetração da #97/#35,1196,31,12165.25,203,1644.0319264575132,municipio proporcional à carga,3302007 / Itaguaí (PVSystem); 3304003 / Piraí (PVSystem); 3304409 / Rio Claro (PVSystem); 3305554 / Seropédica (Generator); 3305554 / Seropédica (PVSystem)
SRD002,segunda maior penetração da #97/#35,2807,134,15744.08,5604,4116.1198237141725,municipio proporcional à carga,3300308 / Barra do Piraí (PVSystem); 3301702 / Duque de Caxias (PVSystem); 3302007 / Itaguaí (PVSystem); 3303500 / Nova Iguaçu (PVSystem); 3304128 / Quatis (PVSystem); 3304557 / Rio de Janeiro (Generator); 3304557 / Rio de Janeiro (PVSystem); 3305554 / Seropédica (Generator); 3305554 / Seropédica (PVSystem)
