ctmt,origem,barras_mt,erro_tensao_max_pu,erro_tensao_medio_pu,perdas_kw_meu,perdas_kw_ref,delta_perdas_kw,corrente_saida_a_meu,corrente_saida_a_ref,delta_corrente_saida_a,linhas_meu,linhas_ref,trafos_meu,trafos_ref,cargas_meu,cargas_ref,reatores_meu,reatores_ref,fontes_meu,fontes_ref,codcondutor_meu,codcondutor_ref,curvacarga_meu,curvacarga_ref,gd_bt_ref,avisos
ALC683,sensibilidade #96,471,4.292141908557312e-08,4.290620919372276e-08,63.81508105099396,63.81507973263,1.318363963775937e-06,57.62935443448501,57.629354154486634,2.799983747081569e-07,533,533,14,14,1966,1966,14,14,1,1,188,4892,30,132,15,ALC683: 1 trafos com >= 90% das UC monofásicas na mesma fase (10910581 (62 de 64 UC monofásicas em B)) — desequilíbrio da BDGD que exige o estabilizador vminpu=0.9 no fluxo (issue #44)
BRR38521,sensibilidade #96,2052,4.292079291978723e-08,4.275599399555093e-08,112.55859652363222,112.55858889591293,7.627719284641898e-06,81.37409114020963,81.37409036564904,7.745605898890062e-07,10436,10436,123,123,9346,9346,123,123,1,1,376,4892,36,132,9,"BRR38521: 1 ramais RAMLIG com mais de 300 m (maior: 782958424, 566 m, 20 UC) — provável circuito BT cadastrado como ramal | BRR38521: 17 trafos com >= 90% das UC monofásicas na mesma fase (488219617 (257 de 265 UC monofásicas em A), 487837606 (162 de 179 UC monofásicas em A), 487356512 (127 de 141 UC monofásicas em A)) — desequilíbrio da BDGD que exige o estabilizador vminpu=0.9 no fluxo (issue #44)"
PDG33010,sensibilidade #96,1491,4.2921921128424856e-08,4.2709693066189955e-08,236.39346400363183,236.3934525676698,1.1435962022687818e-05,160.5998457931822,160.5998439238441,1.8693380923195946e-06,2110,2110,54,54,6274,6274,54,54,1,1,420,4892,39,132,91,"PDG33010: 1 ramais RAMLIG com mais de 300 m (maior: 295735927, 558 m, 42 UC) — provável circuito BT cadastrado como ramal | PDG33010: 2 trafos com >= 90% das UC monofásicas na mesma fase (133290308TZ155475 (47 de 47 UC monofásicas em A), 10990103 (32 de 32 UC monofásicas em A)) — desequilíbrio da BDGD que exige o estabilizador vminpu=0.9 no fluxo (issue #44)"
TQR0007,generalização #91 / baseline histórico do gêmeo,2148,4.29219682018811e-08,4.2542493195011475e-08,264.3354029965331,264.3353894888421,1.3507690994174482e-05,149.0457695936916,149.04576748035097,2.1133406278295297e-06,6251,6251,82,82,12312,12312,82,82,1,1,428,4892,42,132,118,"TQR0007: 10 ramais RAMLIG com mais de 300 m (maior: 567952367, 943 m, 59 UC) — provável circuito BT cadastrado como ramal | TQR0007: 6 trafos com >= 90% das UC monofásicas na mesma fase (11072871 (121 de 125 UC monofásicas em A), 11071545 (120 de 120 UC monofásicas em A), 11072145 (42 de 42 UC monofásicas em A)) — desequilíbrio da BDGD que exige o estabilizador vminpu=0.9 no fluxo (issue #44)"
TRS003,GD no gêmeo #98/#99,2325,4.292150035389852e-08,4.269469234171824e-08,137.28241429022927,137.28240584264356,8.447585713611261e-06,137.3884805711269,137.38847898019105,1.5909358523913397e-06,3624,3624,96,96,4398,4398,96,96,1,1,372,4892,51,132,50,"TRS003: 2 ramais RAMLIG com mais de 300 m (maior: 833455003, 563 m, 15 UC) — provável circuito BT cadastrado como ramal | TRS003: 4 trafos com >= 90% das UC monofásicas na mesma fase (19740491 (50 de 53 UC monofásicas em B), 19642505 (45 de 45 UC monofásicas em A), 19741379 (26 de 26 UC monofásicas em A)) — desequilíbrio da BDGD que exige o estabilizador vminpu=0.9 no fluxo (issue #44)"
